n_jobs = 1, time = 0.6366193294525146
n_jobs = 2, time = 0.964202880859375
n_jobs = 3, time = 1.0246765613555908
n_jobs = 4, time = 1.235426664352417
n_jobs = 5, time = 1.4929969310760498
n_jobs = 6, time = 1.3732936382293701
n_jobs = 7, time = 1.2387161254882812
n_jobs = 8, time = 1.0392062664031982
n_jobs = 9, time = 1.7468698024749756
n_jobs = 10, time = 1.2750647068023682
n_jobs = 11, time = 1.2481153011322021
n_jobs = 12, time = 1.1643314361572266
n_jobs = 13, time = 1.4241962432861328
n_jobs = 14, time = 1.2114977836608887
n_jobs = 15, time = 1.6256980895996094
n_jobs = 16, time = 1.5213820934295654
n_jobs = 17, time = 1.2692539691925049
n_jobs = 18, time = 1.1783487796783447
n_jobs = 19, time = 1.3967738151550293
n_jobs = 20, time = 1.6160337924957275
n_jobs = 21, time = 1.3815340995788574
n_jobs = 22, time = 0.8646337985992432
n_jobs = 23, time = 0.9500205516815186
n_jobs = 24, time = 1.6127898693084717
